"Time","Frequency (Hz)","Level (dBµV/m)","Level_1 (dBµV/m)","Level_2 (dBµV/m)","Level_3 (dBµV/m)","Value Count","File Info"
"10/12/2021  11:20:00.000","   105350000","  23.3","   1.6","  19.0","  27.2","76",
"10/12/2021  11:20:00.000","   105375000","  22.0","   1.5","  16.8","  25.1","76",
"10/12/2021  11:20:00.000","   105400000","  22.2","   1.6","  16.8","  24.7","76",
"10/12/2021  11:20:00.000","   105425000","  23.4","   1.7","  17.6","  26.2","76",
"10/12/2021  11:20:00.000","   105450000","  24.9","   1.8","  18.6","  28.1","76",
"10/12/2021  11:20:00.000","   105475000","  26.1","   2.1","  19.5","  30.7","76",
"10/12/2021  11:20:00.000","   105500000","  26.6","   2.1","  19.9","  31.8","76",
"10/12/2021  11:20:00.000","   105525000","  26.4","   2.1","  19.8","  30.9","76",
"10/12/2021  11:20:00.000","   105550000","  25.3","   1.9","  18.8","  28.7","76",
"10/12/2021  11:20:00.000","   105575000","  23.6","   1.8","  17.5","  26.7","76",
"10/12/2021  11:20:00.000","   105600000","  22.5","   1.7","  16.6","  25.4","76",
"10/12/2021  11:20:00.000","   105625000","  22.3","   1.8","  16.3","  25.1","76",
"10/12/2021  11:20:00.000","   105650000","  22.6","   1.9","  16.4","  27.0","76",
"10/12/2021  11:20:00.000","   105675000","  23.4","   2.0","  16.8","  28.9","76",
"10/12/2021  11:20:00.000","   105700000","  24.1","   2.1","  17.4","  30.0","76",
"10/12/2021  11:20:00.000","   105725000","  24.8","   2.1","  18.1","  30.6","76",
"10/12/2021  11:20:00.000","   105750000","  25.5","   2.2","  18.5","  31.0","76",
"10/12/2021  11:20:00.000","   105775000","  26.0","   2.2","  18.8","  31.3","76",
"10/12/2021  11:20:00.000","   105800000","  26.0","   2.3","  18.7","  31.4","76",
"10/12/2021  11:20:00.000","   105825000","  25.7","   2.3","  18.3","  31.0","76",
"10/12/2021  11:20:00.000","   105850000","  24.8","   2.1","  17.7","  29.6","76",
"10/12/2021  11:20:00.000","   105875000","  24.0","   1.9","  17.7","  27.8","76",
"10/12/2021  10:40:00.000","   105900000","  25.0","   1.8","  22.1","  28.0","40",
"10/12/2021  10:40:00.000","   105925000","  31.7","   1.5","  28.1","  34.1","40",
"10/12/2021  10:40:00.000","   105950000","  39.1","   1.9","  31.6","  42.2","40",
"10/12/2021  11:00:00.000","   105975000","  45.1","   3.0","  39.5","  50.2","76",
"10/12/2021  11:00:00.000","   106000000","  48.7","   2.7","  44.2","  54.1","76",
"10/12/2021  10:40:00.000","   106025000","  48.2","   1.5","  43.6","  50.5","40",
"10/12/2021  10:40:00.000","   106050000","  44.2","   1.2","  40.3","  46.5","40",
"10/12/2021  10:40:00.000","   106075000","  36.4","   1.5","  32.8","  38.6","40",
